Index,SPY,TLT,GLD,VXX,DBC
2009-07-15,73.9197678567,66.0385782123,92.24,69048.32,20.7896249681
2009-07-16,73.8008740238,66.7516911315,91.98,67901.44,20.8381988582
2009-07-17,74.6093435275,65.7216391371,91.93,67921.92,21.149071755
2009-07-20,75.4019637963,66.0673908555,93.28,66600.96,21.4988037638
2009-07-21,75.7507190925,67.3855692819,93.13,65638.4,21.4210855396
2009-07-22,75.734869065,66.7805037747,93.44,62853.12,21.5376628759
2009-07-23,77.4072986248,65.5559664387,93.26,61050.88,21.9845426649
2009-07-24,77.7243419766,65.8729055139,93.41,60794.88,22.0039722209
2009-07-27,77.9542018546,65.1165736299,93.71,61440,22.0914052231
2009-07-28,77.5895973235,65.6928264939,92.11,64051.2,21.8485357726
2009-07-29,77.3993708369,66.0529845339,91.2,64737.28,21.2850786473
2009-07-30,78.2078403406,66.9893954379,91.62,63078.4,21.9456835528
2009-07-31,78.3188071782,68.2931675426,93.35,63457.28,22.3828485638
2009-08-03,79.6107798017,67.2620235491,93.87,62330.88,23.0143091353
2009-08-04,79.8168610716,66.7271654207,94.68,61644.8,23.0240239133
2009-08-05,79.5870011936,65.7297272894,94.78,61388.8,23.2668933639
2009-08-06,79.1748386538,65.9537894783,94.6,62197.76,22.7325805726
2009-08-07,80.213171206,65.4044757249,93.75,59668.48,22.6257180144
2009-08-10,80.0467209495,66.2212185425,92.927,59750.4,22.6160032364
2009-08-11,79.0480194108,66.9873666724,92.79,61440,22.2759860056
2009-08-12,79.8961230985,66.2718132303,92.95,60016.64,22.3925633418
2009-08-13,80.5064407055,67.2114288613,93.72,58634.24,22.6937214605
2009-08-14,79.8881968958,67.4716301129,93,60282.88,22.0525461111
2009-08-17,77.9224986291,68.4690682442,91.61,63559.68,21.7222436583
2009-08-18,78.5407424388,68.0715385542,92.06,62310.4,22.1496938913
2009-08-19,79.2303220726,68.6353079327,92.532,60303.36,22.3051303396
2009-08-20,80.0467209495,69.1990773113,92.27,59176.96,22.1205495572
2009-08-21,81.6161090818,67.7751982398,93.65,58101.76,22.2857007836
2009-08-24,81.6081828791,69.0039263726,92.34,58327.04,22.3245598957
2009-08-25,81.7667069329,69.39422825,92.76,59658.24,22.0039722209
2009-08-26,81.7746331356,69.712252002,92.79,60364.8,21.9456835528
2009-08-27,81.9569357974,69.4375951253,93.19,58890.24,22.1302643352
2009-08-28,81.9410833921,69.7556188773,93.87,59914.24,22.0816904451
2009-08-31,81.2118727447,69.8206691902,93.4,60590.08,21.4793742077
2009-09-01,79.4205509372,69.6526037562,93.9,63856.64,21.149071755
2009-09-02,79.119355235,70.6677364364,96.19,64194.56,21.1976456451
2009-09-03,79.7772300581,70.2326795735,97.46,61143.04,21.0907830868
2009-09-04,80.8948246372,69.0362732004,97.529,59402.3424,21.0033500846
2009-09-08,81.5923304738,68.5504597034,97.43,57415.68,21.3919412055
